Day,Time (HHMM),DirectSun (W/m2),DiffuseSun (W/m2)
1,340,0,0
1,341,0,0
1,342,0,0
1,343,0,0
1,344,0,0
1,345,0,0
1,346,0,0
1,347,0,0
1,348,0,0
1,349,0,0
1,350,0,0
1,351,0,0
1,352,0,0
1,353,0,0
1,354,0,0
1,355,0,0
1,356,0,0
1,357,0,0
1,358,0,0
1,359,0,0
1,400,0,0
1,401,0,0
1,402,0,0
1,403,0,0
1,404,0,0
1,405,0,0
1,406,0,0
1,407,0,0
1,408,0,0
1,409,0,0
1,410,0,0
1,411,0,0
1,412,0,0
1,413,0,0
1,414,0,0
1,415,0,0
1,416,0,0
1,417,0,0
1,418,0,0
1,419,0,0
1,420,0,0
1,421,0,0
1,422,0,0
1,423,0,0
1,424,0,0
1,425,0,0
1,426,0,0
1,427,0,0
1,428,0,0
1,429,0,0
1,430,0,0
1,431,0,0
1,432,0,0
1,433,0,0
1,434,0,0
1,435,0,0
1,436,0,0
1,437,0,0
1,438,0,0
1,439,0,0
1,440,0,0
1,441,0,0
1,442,0,0
1,443,0,0
1,444,0,0
1,445,0,0
1,446,0,0
1,447,0,0
1,448,0,0
1,449,0,0
1,450,0,0
1,451,0,0
1,452,0,0
1,453,0,0
1,454,0,0
1,455,0,0
1,456,0,0
1,457,0,0
1,458,0,0
1,459,0,0
1,500,0,0
1,501,0,0
1,502,0,0
1,503,0,0
1,504,0,0
1,505,0,0
1,506,0,0
1,507,0,0
1,508,0,0
1,509,0,0
1,510,0,0
1,511,0,0
1,512,0,0
1,513,0,0
1,514,0,0
1,515,0,0
1,516,0,0
1,517,0,0
1,518,0,0
1,519,0,0
1,520,0,0
1,521,0,0
1,522,0,0
1,523,0,0
1,524,0,0
1,525,0,0
1,526,0,0
1,527,0,0
1,528,0,0
1,529,0,0
1,530,0,0
1,531,0,0
1,532,0,0
1,533,0,0
1,534,0,0
1,535,0,0
1,536,0,0
1,537,0,0
1,538,0,0
1,539,0,0
1,540,0,0
1,541,0,0
1,542,0,0
1,543,0,0
1,544,0,0
1,545,0,0
1,546,0,0
1,547,0,0
1,548,0,0
1,549,0,0
1,550,0,0
1,551,0,0
1,552,0,0
1,553,0,0
1,554,0,0
1,555,0,0
1,556,0,0
1,557,0,0
1,558,0,0
1,559,0,0
1,600,0,0
1,601,0,0
1,602,0,0
1,603,0,0
1,604,0,0
1,605,0,0
1,606,0,0
1,607,0,0
1,608,0,0
1,609,0,0
1,610,0,0
1,611,0,1.19
1,612,0,1.41
1,613,0,1.66
1,614,0,1.95
1,615,0,2.24
1,616,0,2.52
1,617,0,2.88
1,618,0,3.26
1,619,0,3.64
1,620,0,4.12
1,621,0,4.56
1,622,0,4.98
1,623,0,5.51
1,624,0,6.15
1,625,0,6.94
1,626,0,7.84
1,627,0.24,8.86
1,628,0.34,9.95
1,629,0.47,11.1
1,630,0.59,12.27
1,631,0.77,13.45
1,632,1.08,14.67
1,633,2.98,15.89
1,634,8.42,16.53
1,635,18.51,17.78
1,636,32.27,19.06
1,637,44.76,20.34
1,638,53.5,21.65
1,639,60.88,22.99
1,640,66.64,24.34
1,641,62.14,25.61
1,642,53.2,26.85
1,643,82.03,28.1
1,644,96.83,29.41
1,645,103.96,30.79
1,646,108.43,32.01
1,647,108.53,33.22
1,648,107.2,34.47
1,649,109.52,35.77
1,650,96.6,37.09
1,651,114.44,38.5
1,652,128.3,39.93
1,653,128.83,41.32
1,654,92.46,42.65
1,655,24.97,44.01
1,656,9.49,45.3
1,657,58.1,46.78
1,658,154.72,48.26
1,659,195.82,49.56
1,700,207.78,50.78
1,701,222.66,51.97
1,702,231.7,53.13
1,703,239.37,54.17
1,704,245.79,55.15
1,705,253.43,56.08
1,706,263.78,56.96
1,707,273.11,57.91
1,708,285.5,59.03
1,709,297.14,60.1
1,710,306.33,61
1,711,315.59,61.98
1,712,323.17,62.91
1,713,330.02,63.73
1,714,338.85,64.56
1,715,345.93,65.4
1,716,352.64,66.26
1,717,361.14,67.15
1,718,370.79,68.06
1,719,378.03,69.01
1,720,382.62,69.94
1,721,388.85,70.92
1,722,395,71.86
1,723,401.16,72.74
1,724,408.35,73.62
1,725,413.76,74.47
1,726,416.01,75.13
1,727,416.31,75.75
1,728,417.15,76.41
1,729,422.14,77.23
1,730,426.07,78.1
1,731,431.59,79.05
1,732,440.82,79.94
1,733,447.86,80.81
1,734,453.58,81.62
1,735,459.32,82.51
1,736,466.28,83.43
1,737,472.78,84.3
1,738,476.89,85.16
1,739,481.22,85.99
1,740,484.1,86.76
1,741,483.88,87.59
1,742,487.89,88.43
1,743,495.26,89.32
1,744,500.22,90.24
1,745,509.84,91.2
1,746,515.58,92.09
1,747,516.27,92.95
1,748,521.03,93.78
1,749,507.06,94.54
1,750,527.24,95.39
1,751,531.45,96.21
1,752,535.91,96.92
1,753,538.83,97.5
1,754,544,98.17
1,755,551.53,98.93
1,756,556.68,99.7
1,757,559.35,100.38
1,758,562.11,101.13
1,759,564.62,101.91
1,800,567.88,102.79
1,801,570.79,103.77
1,802,572.95,104.58
1,803,573.74,105.18
1,804,574.02,105.79
1,805,574.85,106.47
1,806,574.73,106.98
1,807,578.71,107.56
1,808,585.57,107.95
1,809,587.82,107.98
1,810,589.68,107.99
1,811,580.81,108.1
1,812,585.49,108.54
1,813,595.04,109.02
1,814,601.57,109.3
1,815,593.08,109.6
1,816,604.08,110.33
1,817,611.48,111.15
1,818,618.52,112.06
1,819,624.85,113.28
1,820,630.36,114.43
1,821,635.83,115.6
1,822,638.61,116.57
1,823,638.39,117.39
1,824,640.5,118.09
1,825,642.45,118.88
1,826,640.52,119.85
1,827,619.63,121.18
1,828,629.1,124.22
1,829,649.47,127.07
1,830,656.18,130.69
1,831,660.79,137.31
1,832,665.46,145.37
1,833,670.85,149.1
1,834,675.24,150.46
1,835,676.93,157.42
1,836,129.43,155.76
1,837,60.69,164.37
1,838,28.6,171.71
1,839,323.08,182.44
1,840,524,180.54
1,841,673.01,180.68
1,842,151.7,182.55
1,843,282.63,184.31
1,844,692.59,184.61
1,845,696.04,180.34
1,846,703.09,180.87
1,847,695.54,181.87
1,848,685.44,184.57
1,849,697.79,188.44
1,850,706.74,193.93
1,851,716.66,200.17
1,852,717.59,204.88
1,853,720.06,214.33
1,854,718.65,226.33
1,855,718.54,232.73
1,856,695.96,235.55
1,857,547.07,240.9
1,858,547.57,250.88
1,859,183.23,267.86
1,900,727.31,281.27
1,901,739.29,262.77
1,902,742.61,242.09
1,903,741.05,231.04
1,904,745.24,223.2
1,905,749.16,218.27
1,906,752,216
1,907,754.42,221.53
1,908,754.05,227.38
1,909,752.19,233.7
1,910,742.1,242.52
1,911,724.87,248.43
1,912,699.6,267.73
1,913,394.96,256
1,914,13.31,236.42
1,915,7.39,228.76
1,916,6.95,225.45
1,917,2.81,209.84
1,918,0,198.65
1,919,4.05,214.61
1,920,9.18,218.86
1,921,18.27,215.03
1,922,10.47,204.07
1,923,0.19,205.12
1,924,0,206.38
1,925,0.12,203.79
1,926,8.57,203.49
1,927,139.01,213.78
1,928,42.19,235.67
1,929,113.58,247.45
1,930,122.35,226.08
1,931,296.09,208.6
1,932,556.06,194.51
1,933,336.08,190.75
1,934,372.7,195.03
1,935,85.4,206.95
1,936,21.47,216.99
1,937,20.49,203.22
1,938,201.48,205.01
1,939,209,203.24
1,940,628.61,201.2
1,941,739.56,206.88
1,942,745.7,206.25
1,943,770.55,202.58
1,944,782.64,203.54
1,945,423.62,210.43
1,946,304.46,215.34
1,947,763.28,210.95
1,948,787.75,211.78
1,949,792.64,227.79
1,950,794.88,225.43
1,951,793.47,216.9
1,952,792.77,225.76
1,953,757.5,235.6
1,954,595.57,252.65
1,955,249.9,278.07
1,956,606.35,290
1,957,784.5,294.47
1,958,775.31,310.92
1,959,783.23,311.63
1,1000,788.8,302.9
1,1001,787.39,301.91
1,1002,782.9,315.52
1,1003,253.88,320.47
1,1004,38.23,337.24
1,1005,603.72,341.66
1,1006,775.53,304.19
1,1007,772.86,296.8
1,1008,760.63,298.95
1,1009,570.47,292.9
1,1010,486.91,298.44
1,1011,419.34,318.33
1,1012,344.6,326.35
1,1013,48.85,306.34
1,1014,4.25,262.62
1,1015,0.53,234.9
1,1016,0.08,220.21
1,1017,0.16,220.89
1,1018,3.38,243.83
1,1019,8.37,293.18
1,1020,0,295.92
1,1021,0,306.55
1,1022,0.49,316.35
1,1023,0.72,329.44
1,1024,2.51,325.26
1,1025,1.68,309.87
1,1026,0.69,308.89
1,1027,4.17,347.18
1,1028,145.92,379.25
1,1029,763.94,386.41
1,1030,659.63,373.88
1,1031,786.28,350.99
1,1032,624.69,342.72
1,1033,304.29,324.9
1,1034,165.86,295.42
1,1035,7.85,279.52
1,1036,2.19,276.99
1,1037,7.92,315.81
1,1038,61.59,384.1
1,1039,436.35,409.96
1,1040,659.15,386.08
1,1041,786.52,376.53
1,1042,261.82,376.53
1,1043,197.47,393.66
1,1044,542.28,410.9
1,1045,469.09,418.27
1,1046,452.56,425.49
1,1047,584.18,397.86
1,1048,772.95,353.97
1,1049,789.21,336.23
1,1050,799.39,315.79
1,1051,807.05,305.1
1,1052,777.14,309.65
1,1053,582.16,319.5
1,1054,480.1,334.06
1,1055,199.1,345.36
1,1056,561.49,320.66
1,1057,678.07,273.43
1,1058,807.48,262.9
1,1059,816.4,255.15
1,1100,807.69,254.31
1,1101,802.71,265.08
1,1102,617.9,269.3
1,1103,151.84,291.22
1,1104,246.79,310.51
1,1105,574.93,301.54
1,1106,572.24,298.7
1,1107,350.42,314.87
1,1108,512.7,327.52
1,1109,710.26,303.99
1,1110,670.28,283.73
1,1111,812.48,258.61
1,1112,821.07,250.55
1,1113,816.28,251.76
1,1114,823.24,260.7
1,1115,813.86,280.85
1,1116,810.39,306.57
1,1117,802.26,336.55
1,1118,811.02,353.42
1,1119,819.07,368.65
1,1120,513.65,387.38
1,1121,20.01,375.2
1,1122,1.51,348.1
1,1123,0.71,314.12
1,1124,0.21,280.5
1,1125,0,273.21
1,1126,0,290.21
1,1127,0,307.75
1,1128,21.76,339.85
1,1129,263.39,373.54
1,1130,328.38,398.29
1,1131,509.74,352.77
1,1132,787.63,323.59
1,1133,835.28,287.58
1,1134,834.67,285.35
1,1135,775.02,302.76
1,1136,824.65,325.89
1,1137,704.92,342.68
1,1138,823.15,359.16
1,1139,816.8,345.4
1,1140,749.24,327.18
1,1141,830.12,324.16
1,1142,831.21,329.11
1,1143,831.58,331.92
1,1144,838.33,298.36
1,1145,831.24,281.91
1,1146,753.04,305.05
1,1147,790.8,293.23
1,1148,838.7,254.33
1,1149,843.23,268.81
1,1150,791.1,303.33
1,1151,306.51,333.06
1,1152,749.89,317.2
1,1153,779.32,299.08
1,1154,301.28,320.47
1,1155,625.46,318.8
1,1156,786.05,284.51
1,1157,810.85,263.89
1,1158,822.69,252.46
1,1159,834.37,241.58
1,1200,829.65,249.16
1,1201,825.74,265.72
1,1202,825.91,278.48
1,1203,677.66,282.88
1,1204,825.74,266.2
1,1205,824.14,254.77
1,1206,807.98,231.19
1,1207,819.22,217.31
1,1208,829.59,223.83
1,1209,835.89,231.66
1,1210,833.45,236.87
1,1211,833.42,244.9
1,1212,811.26,241.64
1,1213,843.66,242.92
1,1214,846.08,229.06
1,1215,844.99,220.94
1,1216,841.89,224.53
1,1217,837.56,236.68
1,1218,827.83,237.21
1,1219,833.26,240.17
1,1220,833.19,243.37
1,1221,831.08,245.04
1,1222,834.95,233.37
1,1223,834.68,234.05
1,1224,831.07,231.87
1,1225,831.18,235.65
1,1226,823.64,230.04
1,1227,788.17,209.06
1,1228,833.9,205.32
1,1229,835.04,206.42
1,1230,835.1,205.66
1,1231,835.69,207.66
1,1232,832.68,211.76
1,1233,828.02,219.39
1,1234,835.28,235.52
1,1235,773.98,264.25
1,1236,812.47,228.07
1,1237,814.44,207.55
1,1238,832.83,204.61
1,1239,837.46,209.98
1,1240,830.95,219.76
1,1241,823.6,228.23
1,1242,822,227.29
1,1243,819.98,221.83
1,1244,815.15,219.76
1,1245,817.23,221.71
1,1246,811.84,225.18
1,1247,809.94,231.2
1,1248,804.48,241.04
1,1249,802.74,247.5
1,1250,797.8,248.16
1,1251,789.18,241.69
1,1252,801.68,233.37
1,1253,806.38,229.79
1,1254,802.78,228.47
1,1255,805.63,227.84
1,1256,811.55,224.19
1,1257,810.97,218.9
1,1258,811.56,216.47
1,1259,800.83,213.73
1,1300,801.15,211.58
1,1301,795.43,209.97
1,1302,791.07,208.92
1,1303,803.9,208.07
1,1304,813.38,207.57
1,1305,809.34,208.11
1,1306,799.35,209.97
1,1307,795.09,211.99
1,1308,796.01,214.29
1,1309,792.03,216.3
1,1310,789.71,218.46
1,1311,786.85,219.37
1,1312,784.82,219.17
1,1313,782.05,218.53
1,1314,777.14,219.3
1,1315,771,220
1,1316,769.68,220.15
1,1317,763.46,220.09
1,1318,759.24,220.31
1,1319,767.33,221.67
1,1320,764.34,222.66
1,1321,764.47,224.84
1,1322,763.31,226.71
1,1323,759.97,225.46
1,1324,758.87,225.62
1,1325,760.85,228.03
1,1326,754.16,227.51
1,1327,763.36,226.69
1,1328,756.37,226.72
1,1329,759.45,226.18
1,1330,757.8,226.3
1,1331,753.35,227.76
1,1332,753.28,229.39
1,1333,749.64,232.65
1,1334,747.97,234.77
1,1335,739.89,230.05
1,1336,740.74,230.05
1,1337,737.13,228.21
1,1338,730.1,225.48
1,1339,722.62,225.04
1,1340,731.4,224.74
1,1341,747.32,224.28
1,1342,745.92,223.53
1,1343,744.88,223.1
1,1344,738.92,222.98
1,1345,744.51,223.37
1,1346,738.53,223.01
1,1347,734.61,223.19
1,1348,738.95,223.43
1,1349,738.13,224.08
1,1350,729.42,224.97
1,1351,730.65,225.6
1,1352,722.56,226.13
1,1353,729.01,226.27
1,1354,724.38,226.76
1,1355,724.68,227.71
1,1356,712.37,228.2
1,1357,714.93,229.03
1,1358,701.3,230.29
1,1359,696.78,231.83
1,1400,685.87,232.63
1,1401,686.12,232.29
1,1402,687.88,231.67
1,1403,706.52,231.5
1,1404,711.91,231.48
1,1405,700.47,232.75
1,1406,697.44,234.91
1,1407,696.02,236.74
1,1408,677.83,237.67
1,1409,681.24,234.94
1,1410,693.09,233.83
1,1411,701.3,235.52
1,1412,683.9,237
1,1413,681.86,239.18
1,1414,686.97,239.9
1,1415,691.8,238.72
1,1416,696.27,236.01
1,1417,700.76,232.9
1,1418,704.01,231.47
1,1419,702.55,232.69
1,1420,691.01,233.61
1,1421,699.76,232.02
1,1422,696.09,228.35
1,1423,694.08,226.52
1,1424,680.25,226.25
1,1425,678.8,223.54
1,1426,689.02,219.16
1,1427,690.67,217.73
1,1428,696.77,216.29
1,1429,702.37,215.36
1,1430,706.16,214.97
1,1431,708.16,215.23
1,1432,705.49,215.23
1,1433,707.77,215.48
1,1434,702.09,216.5
1,1435,698.26,216.68
1,1436,700.01,217.69
1,1437,695.34,218.87
1,1438,690.48,219.89
1,1439,686.19,221.5
1,1440,677.42,222.45
1,1441,664.74,224.46
1,1442,654.76,225.96
1,1443,643.31,227.51
1,1444,626.35,228.02
1,1445,616.01,228.55
1,1446,606.43,229.14
1,1447,604.51,229.26
1,1448,604.06,229.92
1,1449,603.51,230.45
1,1450,588.83,230.32
1,1451,578.25,229.63
1,1452,575.4,229.1
1,1453,569.38,228.57
1,1454,573.23,228.4
1,1455,580.18,228.39
1,1456,574.49,227.78
1,1457,581.29,227.47
1,1458,582.47,227.08
1,1459,582.81,226.18
1,1500,577.68,224.86
1,1501,578.95,223.52
1,1502,583.02,222.07
1,1503,591.27,220.9
1,1504,589.05,220.58
1,1505,595.81,220.08
1,1506,597.03,218.78
1,1507,595.24,218.07
1,1508,597.96,217.29
1,1509,598.79,216.29
1,1510,598.48,214.71
1,1511,603.64,213.42
1,1512,600.84,211.99
1,1513,597.45,210.22
1,1514,591.17,208.88
1,1515,587.25,207.49
1,1516,596.82,206.21
1,1517,597.01,205.63
1,1518,600.82,204.57
1,1519,605.72,203.94
1,1520,607.24,202.84
1,1521,605.24,202.2
1,1522,600.05,202.06
1,1523,597.97,201.21
1,1524,591.79,200.39
1,1525,593.27,199.22
1,1526,594.08,198.41
1,1527,594.18,197.99
1,1528,592.39,197.11
1,1529,596.54,196.3
1,1530,595.28,195.62
1,1531,591.3,194.64
1,1532,593.17,193.85
1,1533,594.12,193.42
1,1534,598.62,192.37
1,1535,591.74,192
1,1536,590.11,191.52
1,1537,589.04,191.11
1,1538,591.91,190.17
1,1539,588.71,189.39
1,1540,587.25,188.62
1,1541,577.24,188.24
1,1542,576.81,186.92
1,1543,578.75,185.76
1,1544,582.17,184.85
1,1545,581.45,184.18
1,1546,582.65,183.19
1,1547,585.66,181.85
1,1548,582.7,180.91
1,1549,575.1,179.72
1,1550,565.51,178.87
1,1551,564.04,177.67
1,1552,565.74,176.46
1,1553,564.15,175.46
1,1554,564.78,174.74
1,1555,562.26,173.97
1,1556,550.24,173.49
1,1557,543.25,172.69
1,1558,533.62,171.65
1,1559,529.99,170.52
1,1600,531.63,169.67
1,1601,532.57,168.99
1,1602,535.88,167.98
1,1603,537.99,167.22
1,1604,536.31,166.79
1,1605,533.85,166.01
1,1606,532.55,165.32
1,1607,525.55,164.71
1,1608,519.35,164.12
1,1609,518.94,163.65
1,1610,516.89,163.29
1,1611,516.31,162.97
1,1612,513.55,162.67
1,1613,507.21,162.36
1,1614,501.64,162.04
1,1615,497.52,161.52
1,1616,493.52,161.03
1,1617,491.38,160.11
1,1618,486.3,159.16
1,1619,478.5,158.39
1,1620,474.97,157.35
1,1621,470.01,156.21
1,1622,465.32,155.18
1,1623,460.45,154.33
1,1624,459.56,153.39
1,1625,459.21,152.24
1,1626,450.84,150.97
1,1627,440.63,150.11
1,1628,433.52,149.04
1,1629,432.22,148
1,1630,433.1,147.18
1,1631,432.66,146.11
1,1632,424.24,145.71
1,1633,422.99,144.14
1,1634,420.04,143.4
1,1635,418.16,142.78
1,1636,419.7,142.17
1,1637,421.97,141.52
1,1638,424.78,140.92
1,1639,428.42,140.45
1,1640,430.03,139.96
1,1641,433.86,139.48
1,1642,436.71,139.1
1,1643,435.73,138.77
1,1644,430.69,137.93
1,1645,420.62,137.36
1,1646,407.52,137.27
1,1647,403.59,137.58
1,1648,404.19,138.08
1,1649,403.75,138.57
1,1650,404.54,138.39
1,1651,394.67,138.04
1,1652,395.09,137.38
1,1653,367.18,136.42
1,1654,347.24,135.6
1,1655,355.29,135.48
1,1656,371.8,135.24
1,1657,377.71,134.54
1,1658,343.56,133.39
1,1659,340.94,132.31
1,1700,342.89,131.17
1,1701,318.75,129.77
1,1702,316.2,128.74
1,1703,293.6,128.68
1,1704,319.01,129.37
1,1705,330.15,129.59
1,1706,306.2,129.24
1,1707,327.9,128.29
1,1708,332.52,126.91
1,1709,328.62,125.54
1,1710,303.25,124.33
1,1711,244.63,123.44
1,1712,237.44,123.01
1,1713,273.11,122.87
1,1714,276.89,122.2
1,1715,283.27,120.87
1,1716,285.34,118.82
1,1717,305.83,116.65
1,1718,277.77,114.57
1,1719,253.49,112.73
1,1720,255.24,111.1
1,1721,245.85,109.92
1,1722,226.56,109.65
1,1723,218.1,109.56
1,1724,215.41,109.47
1,1725,239.38,109.58
1,1726,259.91,109.15
1,1727,281.52,108.08
1,1728,299.74,106.97
1,1729,319.25,105.96
1,1730,335.58,105.14
1,1731,270.85,104.35
1,1732,261.67,103.63
1,1733,263.64,102.88
1,1734,236.48,102.08
1,1735,254.68,101.18
1,1736,275.46,100.29
1,1737,282.77,99.31
1,1738,274.39,98.51
1,1739,259.96,97.86
1,1740,234.42,97.47
1,1741,255.45,96.89
1,1742,277.19,96.1
1,1743,257.99,94.89
1,1744,265.52,93.62
1,1745,274.67,92.33
1,1746,279.11,91.1
1,1747,269.21,89.84
1,1748,245.7,88.73
1,1749,268.38,87.48
1,1750,249.93,85.8
1,1751,205.49,83.82
1,1752,181.43,81.73
1,1753,187.82,79.89
1,1754,191.78,78.41
1,1755,189.99,77.13
1,1756,186.93,75.88
1,1757,183.36,74.53
1,1758,188.63,73
1,1759,185.2,71.25
1,1800,167.16,69.51
1,1801,161.1,67.78
1,1802,144.77,66.07
1,1803,129.63,64.53
1,1804,141.42,63.06
1,1805,147.14,61.46
1,1806,147.15,59.82
1,1807,150.26,58.23
1,1808,151.33,56.66
1,1809,154.11,55.05
1,1810,147.21,53.43
1,1811,133.46,51.86
1,1812,118.23,50.33
1,1813,109.67,48.84
1,1814,104.82,47.43
1,1815,96.73,46.03
1,1816,92.17,44.6
1,1817,87.36,43.14
1,1818,84.11,41.66
1,1819,79.64,40.14
1,1820,68.5,38.57
1,1821,57.52,36.97
1,1822,52.43,35.34
1,1823,47.45,33.74
1,1824,35.67,32.15
1,1825,19.47,30.58
1,1826,7.24,28.95
1,1827,2.52,27.35
1,1828,1.82,25.74
1,1829,1.14,24.18
1,1830,0.57,22.66
1,1831,0.31,21.16
1,1832,0.17,19.72
1,1833,0.06,18.34
1,1834,0,16.95
1,1835,0,15.58
1,1836,0,13.56
1,1837,0,11.98
1,1838,0,10.52
1,1839,0,9.2
1,1840,0,8.01
1,1841,0,7.06
1,1842,0,6.25
1,1843,0,5.5
1,1844,0,4.82
1,1845,0,4.2
1,1846,0,3.65
1,1847,0,3.29
1,1848,0,3.35
1,1849,0,3.69
1,1850,0,4
1,1851,0,4.11
1,1852,0,4.05
1,1853,0,3.76
1,1854,0,3.22
1,1855,0,2.52
1,1856,0,1.82
1,1857,0,1.1
1,1858,0,0
1,1859,0,0
1,1900,0,0
1,1901,0,0
1,1902,0,0
1,1903,0,0
1,1904,0,0
1,1905,0,0
1,1906,0,0
1,1907,0,0
1,1908,0,0
1,1909,0,0
1,1910,0,0
1,1911,0,0
1,1912,0,0
1,1913,0,0
1,1914,0,0
1,1915,0,0
1,1916,0,0
1,1917,0,0
1,1918,0,0
1,1919,0,0
1,1920,0,0
1,1921,0,0
1,1922,0,0
1,1923,0,0
1,1924,0,0
1,1925,0,0
1,1926,0,0
1,1927,0,0
1,1928,0,0
1,1929,0,0
1,1930,0,0
1,1931,0,0
1,1932,0,0
1,1933,0,0
1,1934,0,0
1,1935,0,0
1,1936,0,0
1,1937,0,0
1,1938,0,0
1,1939,0,0
1,1940,0,0
1,1941,0,0
1,1942,0,0
1,1943,0,0
1,1944,0,0
1,1945,0,0
1,1946,0,0
1,1947,0,0
1,1948,0,0
1,1949,0,0
1,1950,0,0
1,1951,0,0
1,1952,0,0
1,1953,0,0
1,1954,0,0
1,1955,0,0
1,1956,0,0
1,1957,0,0
1,1958,0,0
1,1959,0,0
1,2000,0,0
1,2001,0,0
1,2002,0,0
1,2003,0,0
1,2004,0,0
1,2005,0,0
1,2006,0,0
1,2007,0,0
1,2008,0,0
1,2009,0,0
1,2010,0,0
1,2011,0,0
1,2012,0,0
1,2013,0,0
1,2014,0,0
1,2015,0,0
1,2016,0,0
1,2017,0,0
1,2018,0,0
1,2019,0,0
1,2020,0,0
1,2021,0,0
1,2022,0,0
1,2023,0,0
1,2024,0,0
1,2025,0,0
1,2026,0,0
1,2027,0,0
1,2028,0,0
1,2029,0,0
1,2030,0,0
1,2031,0,0
1,2032,0,0
1,2033,0,0
1,2034,0,0
1,2035,0,0
1,2036,0,0
1,2037,0,0
1,2038,0,0
1,2039,0,0
1,2040,0,0
1,2041,0,0
1,2042,0,0
1,2043,0,0
1,2044,0,0
1,2045,0,0
1,2046,0,0
1,2047,0,0
1,2048,0,0
1,2049,0,0
1,2050,0,0
1,2051,0,0
1,2052,0,0
1,2053,0,0
1,2054,0,0
1,2055,0,0
1,2056,0,0
1,2057,0,0
1,2058,0,0
1,2059,0,0
1,2100,0,0
1,2101,0,0
1,2102,0,0
1,2103,0,0
1,2104,0,0
1,2105,0,0
1,2106,0,0
1,2107,0,0
1,2108,0,0
1,2109,0,0
1,2110,0,0
1,2111,0,0
1,2112,0,0
1,2113,0,0
1,2114,0,0
1,2115,0,0
1,2116,0,0
1,2117,0,0
1,2118,0,0
1,2119,0,0
1,2120,0,0
1,2121,0,0
1,2122,0,0
1,2123,0,0
1,2124,0,0
1,2125,0,0
1,2126,0,0
